id,business_role_id,organizational_id,is_current,created_at,updated_at
WOR-134439OR-84114,WOR-134439,OR-84114,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134439OR-84856,WOR-134439,OR-84856,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134438OR-84854,WOR-134438,OR-84854,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134301OR-48642,WOR-134301,OR-48642,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134304OR-84981,WOR-134304,OR-84981,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134299OR-48767,WOR-134299,OR-48767,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134299OR-131487,WOR-134299,OR-131487,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134305OR-48803,WOR-134305,OR-48803,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134311OR-61852,WOR-134311,OR-61852,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134311OR-49017,WOR-134311,OR-49017,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134311OR-48666,WOR-134311,OR-48666,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134311OR-132985,WOR-134311,OR-132985,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134309OR-48666,WOR-134309,OR-48666,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134307OR-129807,WOR-134307,OR-129807,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134437OR-84860,WOR-134437,OR-84860,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134310OR-49017,WOR-134310,OR-49017,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134643OR-84853,WOR-134643,OR-84853,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134671OR-48901,WOR-134671,OR-48901,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134620OR-84858,WOR-134620,OR-84858,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134620OR-48821,WOR-134620,OR-48821,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134441OR-84859,WOR-134441,OR-84859,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134637OR-48907,WOR-134637,OR-48907,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134637OR-134494,WOR-134637,OR-134494,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134254OR-48851,WOR-134254,OR-48851,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-133660OR-60213,WOR-133660,OR-60213,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-132358OR-48660,WOR-132358,OR-48660,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134368OR-48660,WOR-134368,OR-48660,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134418OR-48660,WOR-134418,OR-48660,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-132503OR-48661,WOR-132503,OR-48661,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-133670OR-52843,WOR-133670,OR-52843,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134415OR-48766,WOR-134415,OR-48766,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-133671OR-48768,WOR-133671,OR-48768,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-133671OR-121253,WOR-133671,OR-121253,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-133671OR-121254,WOR-133671,OR-121254,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134272OR-121252,WOR-134272,OR-121252,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-133664OR-48828,WOR-133664,OR-48828,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-133661OR-60213,WOR-133661,OR-60213,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134266OR-60213,WOR-134266,OR-60213,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134267OR-60213,WOR-134267,OR-60213,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134271OR-60213,WOR-134271,OR-60213,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134270OR-60213,WOR-134270,OR-60213,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134268OR-60213,WOR-134268,OR-60213,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134269OR-60213,WOR-134269,OR-60213,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134395OR-119633,WOR-134395,OR-119633,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134396OR-129610,WOR-134396,OR-129610,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134440OR-48805,WOR-134440,OR-48805,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134640OR-119632,WOR-134640,OR-119632,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134432OR-104232,WOR-134432,OR-104232,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134638OR-52842,WOR-134638,OR-52842,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134435OR-48780,WOR-134435,OR-48780,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134642OR-48783,WOR-134642,OR-48783,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134433OR-48786,WOR-134433,OR-48786,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134618OR-48789,WOR-134618,OR-48789,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134618OR-60526,WOR-134618,OR-60526,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134355OR-48776,WOR-134355,OR-48776,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134641OR-52848,WOR-134641,OR-52848,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134451OR-60222,WOR-134451,OR-60222,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134451OR-48784,WOR-134451,OR-48784,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134450OR-60222,WOR-134450,OR-60222,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
WOR-134450OR-48784,WOR-134450,OR-48784,true,2025-12-05 07:00:52.855000 UTC,2025-12-05 07:00:52.855000 UTC
