id,name,technical_id,origin,technical_reference,hash_string,is_current,created_at,updated_at,risk,software_id
WOR-131978,ADP - Meu Unico,sr-adp-meu-unico,JumpCloud,642ae88b48c22b00017d2647:642aefdf76c221a03a47ae8f,0aa43f021807fd0cf0ed62fa4777cfbc2943715de5f94d0720f3e8d1ec0c56a0,true,2025-09-10 19:10:55.471000 UTC,2025-10-08 18:26:04.673000 UTC,Medio,ITSM-32358
WOR-131980,ARNICA - Admin,sr-arnica-admin,JumpCloud,66143b43f0ae190001a80549:661438936de4e2a92a20bfe5,4511b8196928f363178d94564c55ade5226abed8edc5972551eb37ffd2c5fb5b,true,2025-09-10 19:10:56.117000 UTC,2025-10-08 18:25:53.814000 UTC,Alto,ITSM-41614
WOR-131981,ARNICA - Collaborator,sr-arnica-collaborator,JumpCloud,66143be88b6d910001d7755c:661438936de4e2a92a20bfe5,23d2368f9d8be6667489aca77f6ab7a775c445b6012fb2b4023fce8e113e37b7,true,2025-09-10 19:10:56.382000 UTC,2025-10-08 18:25:54.558000 UTC,Medio,ITSM-41614
WOR-131982,ARNICA - Developer,sr-arnica-developer,JumpCloud,6629415d9eb44800011b5018:661438936de4e2a92a20bfe5,47e9357436695f2ca52462efd0a6cc42e09740bca5cc1d9b8206e006a34c29c8,true,2025-09-10 19:10:56.658000 UTC,2025-10-08 18:25:55.241000 UTC,Medio,ITSM-41614
WOR-131983,ARNICA - Security Reviewer,sr-arnica-security-reviewer,JumpCloud,66143bd08b6d910001d7755a:661438936de4e2a92a20bfe5,a3dd9ddbf76a6f173e81c5929ffea5244d066378ad2677cc5e3ee236b5b41f7d,true,2025-09-10 19:10:56.931000 UTC,2025-10-08 18:25:55.971000 UTC,Medio,ITSM-41614
WOR-131984,ATLANTIS - Beta,sr-atlantis-beta-autenticacao,JumpCloud,6881183a7b509a0001fe9cff:688118c99f8edf07ecbf0264,4b5e310e79d2e09b6f91d61948c014c3b678004c8fd9215df74af0ca0279a8dc,true,2025-09-10 19:10:57.207000 UTC,2025-10-08 18:25:56.756000 UTC,Medio,ITSM-32377
WOR-131985,ATLANTIS - New,sr-atlantis-new-autenticacao,JumpCloud,687946b3864222000102c63d:687945e67c8b5014d4f405d0,cf1e5df019fa141857d620b065110fa4bc725e825c698dbff9cc2b2348548a65,true,2025-09-10 19:10:57.475000 UTC,2025-10-08 18:25:57.472000 UTC,Medio,ITSM-32377
WOR-131986,ATLANTIS - Prod,sr-atlantis-prod-autenticacao,JumpCloud,68811a467b3cf400011a38bd:68811b64c54bb3f3b565a25b,9d723d1ecd04775d1c3293c0c1800861ae6e1c9146d5c84147f7db7ff31fc08a,true,2025-09-10 19:10:57.749000 UTC,2025-10-08 18:25:58.202000 UTC,Medio,ITSM-32377
WOR-131987,ATLAS - Admins,sr-atlas-admins,JumpCloud,667c43c2770f4d0001c91756:667c421d4fad4e857d61537e,7f4d8ca8768e2e6eb686c73d60cdafae5c8c48a84baa3c14d52d22b43692d330,true,2025-09-10 19:10:58.040000 UTC,2025-10-17 12:42:33.432000 UTC,Alto,ITSM-133475
WOR-131988,ATLAS - Developers,sr-atlas-developers,JumpCloud,667c43aa770f4d0001c91754:667c421d4fad4e857d61537e,7f9470396181126eef619a0f0559d257542b64bd3b3c9ee4e9f17d2038277038,true,2025-09-10 19:10:58.315000 UTC,2025-10-17 12:42:33.597000 UTC,Medio,ITSM-133475
WOR-131989,AWS - Autenticacao,sr-aws-autenticacao,JumpCloud,636d498885993b0001c4373a:636db2654ac27cb74663a225,0a7d0e0e67e9bba22faaa2693577129dcc29af1c433b670104a26b43db7396dc,true,2025-09-10 19:10:58.589000 UTC,2025-10-17 13:14:40.339000 UTC,Medio,ITSM-133487
